filename,error_type,inject_at_move,total_moves,original_move,corrupted_move,cascade_length,shift_starts_at
game_019475.pgn,3,6.0,60.0,Qd1,,,
game_019476.pgn,2,6.0,29.0,Nf3,Mf3,,
game_019477.pgn,1,34.0,54.0,b4,Nz5,,
game_019478.pgn,4,24.0,49.0,b5,,24.0,24.0
game_019479.pgn,4,39.0,44.0,Re2,,4.0,39.0
game_019480.pgn,3,27.0,36.0,gxf6,,,
game_019481.pgn,1,24.0,31.0,Nd5,Ka9,,
game_019482.pgn,1,26.0,81.0,g4,Nz5,,
game_019483.pgn,3,3.0,43.0,e6,,,
game_019484.pgn,4,10.0,57.0,Nc3,,46.0,10.0
game_019485.pgn,3,21.0,71.0,exd4,,,
game_019486.pgn,3,20.0,45.0,Bxf7+,,,
game_019487.pgn,3,10.0,27.0,Qxf3,,,
game_019488.pgn,2,51.0,69.0,Qd4,Od4,,
game_019489.pgn,2,69.0,81.0,Ka7,Xa7,,
game_019490.pgn,2,77.0,90.0,a5,a6,,
game_019491.pgn,4,50.0,66.0,Bg2,,15.0,50.0
game_019492.pgn,4,16.0,26.0,Qxa8,,9.0,16.0
game_019493.pgn,1,51.0,65.0,Nbc6,Qh8,,
game_019494.pgn,4,12.0,49.0,Nc3,,36.0,12.0
game_019495.pgn,4,6.0,23.0,dxe4,,16.0,6.0
game_019496.pgn,1,14.0,49.0,O-O,Ka9,,
game_019497.pgn,3,70.0,83.0,hxg6,,,
game_019498.pgn,1,72.0,91.0,Kb2,Qh8,,
game_019499.pgn,1,17.0,44.0,Bxd2+,Nz5,,
game_019500.pgn,2,33.0,50.0,Nxe4,Mxe4,,
game_019501.pgn,3,46.0,76.0,f4,,,
game_019502.pgn,1,73.0,96.0,Rg7,Rb9,,
game_019503.pgn,2,82.0,94.0,Ke5,Xe5,,
game_019504.pgn,2,22.0,48.0,f4,f5,,
game_019505.pgn,2,28.0,50.0,Nf5,Mf5,,
game_019506.pgn,4,9.0,67.0,Ne7,,57.0,9.0
game_019507.pgn,3,26.0,46.0,e4,,,
game_019508.pgn,1,45.0,87.0,cxb4,Qа9,,
game_019509.pgn,1,28.0,62.0,Nxd2,Nz5,,
game_019510.pgn,3,25.0,83.0,Nxe3,,,
game_019511.pgn,1,8.0,37.0,e3,Rb9,,
game_019512.pgn,4,35.0,51.0,Rxe5,,15.0,35.0
game_019513.pgn,3,25.0,53.0,Ne4,,,
game_019514.pgn,4,30.0,55.0,a4,,24.0,30.0
game_019515.pgn,1,10.0,23.0,cxd4,Qh8,,
game_019516.pgn,4,36.0,69.0,Nc3,,32.0,36.0
game_019517.pgn,4,27.0,33.0,c4,,5.0,27.0
game_019518.pgn,3,67.0,97.0,hxg4+,,,
game_019519.pgn,2,60.0,68.0,Nf8+,Mf8+,,
game_019520.pgn,4,10.0,67.0,O-O,,56.0,10.0
game_019521.pgn,2,61.0,65.0,Nc7,Mc7,,
game_019522.pgn,4,36.0,56.0,axb5,,19.0,36.0
game_019523.pgn,3,15.0,37.0,Ba5,,,
game_019524.pgn,4,50.0,82.0,Nxa6,,31.0,50.0
game_019525.pgn,4,5.0,32.0,Bc5,,26.0,5.0
game_019526.pgn,1,71.0,85.0,Ke7,Qа9,,
game_019527.pgn,2,73.0,79.0,Kg7,Xg7,,
game_019528.pgn,4,48.0,69.0,Qf3,,20.0,48.0
game_019529.pgn,2,43.0,52.0,Nd4,Md4,,
game_019530.pgn,4,70.0,83.0,Nb4,,12.0,70.0
game_019531.pgn,2,33.0,49.0,Qc8,Oc8,,
game_019532.pgn,4,64.0,78.0,Qc2,,13.0,64.0
game_019533.pgn,1,25.0,54.0,a6,Qа9,,
game_019534.pgn,1,7.0,96.0,Bb4,Ka9,,
game_019535.pgn,4,38.0,55.0,Ba3,,16.0,38.0
game_019536.pgn,2,11.0,61.0,g5,g6,,
game_019537.pgn,2,21.0,32.0,Ng6,Mg6,,
game_019538.pgn,2,24.0,79.0,exd6,exd7,,
game_019539.pgn,1,19.0,98.0,O-O,Bh9,,
game_019540.pgn,1,21.0,51.0,h6,Nz5,,
game_019541.pgn,1,50.0,62.0,Qc6+,Qа9,,
game_019542.pgn,3,19.0,64.0,Nh6,,,
game_019543.pgn,4,48.0,66.0,Rg3,,17.0,48.0
game_019544.pgn,4,11.0,61.0,Bb7,,49.0,11.0
game_019545.pgn,2,31.0,57.0,a5,a6,,
game_019546.pgn,1,49.0,55.0,Red8,Bh9,,
game_019547.pgn,1,6.0,83.0,Nxd4,Rb9,,
game_019548.pgn,1,20.0,32.0,Bxc6,Rb9,,
game_019549.pgn,4,57.0,62.0,Nxd3,,4.0,57.0
game_019550.pgn,1,20.0,93.0,Nf4,Ka9,,
game_019551.pgn,3,23.0,36.0,f6,,,
game_019552.pgn,3,9.0,78.0,bxc6,,,
game_019553.pgn,4,12.0,27.0,Nc3,,14.0,12.0
game_019554.pgn,3,14.0,35.0,O-O,,,
game_019555.pgn,3,80.0,86.0,a5,,,
game_019556.pgn,4,58.0,89.0,Qf3,,30.0,58.0
game_019557.pgn,4,10.0,41.0,b4,,30.0,10.0
game_019558.pgn,2,55.0,60.0,d3,d4,,
game_019559.pgn,2,5.0,66.0,Qe7,Oe7,,
game_019560.pgn,3,7.0,74.0,h6,,,
game_019561.pgn,1,26.0,73.0,Nc3,Qа9,,
game_019562.pgn,1,10.0,33.0,Bd3,Bh9,,
game_019563.pgn,2,66.0,82.0,Rfd3,Pfd3,,
game_019564.pgn,1,20.0,90.0,c5,Bh9,,
game_019565.pgn,4,22.0,92.0,Ngf3,,69.0,22.0
game_019566.pgn,1,35.0,54.0,Ka6,Qа9,,
game_019567.pgn,2,54.0,65.0,Qxf5+,Oxf5+,,
game_019568.pgn,3,16.0,73.0,h3,,,
game_019569.pgn,2,44.0,51.0,Rd1,Pd1,,
game_019570.pgn,4,12.0,42.0,O-O,,29.0,12.0
game_019571.pgn,2,8.0,51.0,Bxc6,8xc6,,
game_019572.pgn,1,5.0,66.0,Qh4,Ka9,,
game_019573.pgn,1,56.0,100.0,b5,Nz5,,
game_019574.pgn,1,21.0,58.0,Nc6,Nz5,,
game_019575.pgn,2,25.0,70.0,Bc7,8c7,,
game_019576.pgn,4,23.0,35.0,Ne4,,11.0,23.0
game_019577.pgn,4,25.0,54.0,d6,,28.0,25.0
game_019578.pgn,2,20.0,49.0,Bg5,8g5,,
game_019579.pgn,2,47.0,73.0,Ke7,Xe7,,
game_019580.pgn,2,45.0,72.0,Rd4,Pd4,,
game_019581.pgn,3,56.0,62.0,Qb5,,,
game_019582.pgn,3,21.0,66.0,Bb7,,,
game_019583.pgn,2,34.0,70.0,Rad1,Pad1,,
game_019584.pgn,3,15.0,34.0,cxd5,,,
game_019585.pgn,1,43.0,51.0,a5,Qа9,,
game_019586.pgn,1,44.0,48.0,Rcd1,Rb9,,
game_019587.pgn,1,24.0,34.0,Bd6,Qh8,,
game_019588.pgn,4,30.0,79.0,Nxa8,,48.0,30.0
game_019589.pgn,1,76.0,89.0,d6,Nz5,,
game_019590.pgn,4,39.0,49.0,Bd7,,9.0,39.0
game_019591.pgn,2,6.0,44.0,f3,f4,,
game_019592.pgn,2,5.0,46.0,e6,e7,,
game_019593.pgn,3,10.0,44.0,d4,,,
game_019594.pgn,3,11.0,51.0,Nf6,,,
game_019595.pgn,3,86.0,99.0,Qb5+,,,
game_019596.pgn,1,29.0,76.0,exf4,Qа9,,
game_019597.pgn,1,14.0,30.0,Bg5,Qh8,,
game_019598.pgn,4,8.0,66.0,d3,,57.0,8.0
game_019599.pgn,1,57.0,72.0,Nxd1,Rb9,,
game_019600.pgn,1,55.0,71.0,Kg7,Nz5,,
game_019601.pgn,2,5.0,31.0,f6,f7,,
game_019602.pgn,4,47.0,52.0,Rxd4,,4.0,47.0
game_019603.pgn,4,24.0,85.0,Rc1,,60.0,24.0
game_019604.pgn,4,72.0,96.0,bxc7,,23.0,72.0
game_019605.pgn,2,66.0,94.0,Kh3,Xh3,,
game_019606.pgn,1,29.0,77.0,Qf6,Bh9,,
game_019607.pgn,4,28.0,53.0,c3,,24.0,28.0
game_019608.pgn,2,19.0,68.0,Nxd4,Mxd4,,
game_019609.pgn,4,10.0,34.0,cxd4,,23.0,10.0
game_019610.pgn,2,36.0,80.0,Nxc4,Mxc4,,
game_019611.pgn,1,41.0,47.0,Rh6,Ka9,,
game_019612.pgn,4,48.0,55.0,Nd4,,6.0,48.0
game_019613.pgn,3,15.0,81.0,Ng6,,,
game_019614.pgn,2,43.0,83.0,Qf5,Of5,,
game_019615.pgn,3,21.0,34.0,exf3,,,
game_019616.pgn,3,15.0,27.0,d5,,,
game_019617.pgn,1,51.0,77.0,Nd5,Nz5,,
game_019618.pgn,3,76.0,81.0,Nxd5+,,,
game_019619.pgn,2,9.0,41.0,c6,c7,,
game_019620.pgn,3,5.0,68.0,d5,,,
game_019621.pgn,4,5.0,52.0,Bc5,,46.0,5.0
game_019622.pgn,2,40.0,49.0,fxg3,fxg4,,
game_019623.pgn,4,15.0,61.0,Nf6,,45.0,15.0
game_019624.pgn,1,10.0,66.0,a3,Qа9,,
game_019625.pgn,2,59.0,65.0,Qa2+,Oa2+,,
game_019626.pgn,4,16.0,39.0,f4,,22.0,16.0
game_019627.pgn,2,5.0,74.0,exd4,exd5,,
game_019628.pgn,1,54.0,59.0,Nc6,Ka9,,
game_019629.pgn,2,43.0,91.0,d5,d6,,
game_019630.pgn,4,10.0,51.0,Qd3,,40.0,10.0
game_019631.pgn,2,14.0,57.0,Kh1,Xh1,,
game_019632.pgn,1,24.0,66.0,Bc3,Rb9,,
game_019633.pgn,2,35.0,46.0,Bxf3,8xf3,,
game_019634.pgn,1,48.0,60.0,b4,Bh9,,
game_019635.pgn,2,21.0,81.0,dxe5,dxe6,,
game_019636.pgn,1,3.0,84.0,Nc6,Rb9,,
game_019637.pgn,4,8.0,63.0,Kd2,,54.0,8.0
game_019638.pgn,2,7.0,25.0,Bg7,8g7,,
game_019639.pgn,3,24.0,72.0,Bg5,,,
game_019640.pgn,3,42.0,48.0,e3,,,
game_019641.pgn,4,9.0,94.0,Bd7,,84.0,9.0
game_019642.pgn,2,34.0,40.0,a4,a5,,
game_019643.pgn,3,5.0,92.0,Nf6,,,
game_019644.pgn,2,36.0,40.0,Qxe7,Oxe7,,
game_019645.pgn,4,23.0,63.0,Qd7,,39.0,23.0
game_019646.pgn,2,51.0,71.0,f5,f6,,
game_019647.pgn,1,17.0,95.0,O-O,Rb9,,
game_019648.pgn,1,25.0,45.0,g6,Rb9,,
game_019649.pgn,4,51.0,57.0,Bc7,,5.0,51.0
game_019650.pgn,4,16.0,87.0,e4,,70.0,16.0
game_019651.pgn,3,31.0,61.0,Nc6,,,
game_019652.pgn,3,13.0,69.0,c6,,,
game_019653.pgn,2,32.0,99.0,Bd4,8d4,,
game_019654.pgn,4,40.0,60.0,Bxa8,,19.0,40.0
game_019655.pgn,2,23.0,49.0,e5,e6,,
game_019656.pgn,2,34.0,59.0,Qxg5+,Oxg5+,,
game_019657.pgn,2,3.0,54.0,d5,d6,,
game_019658.pgn,2,8.0,41.0,c3,c4,,
game_019659.pgn,4,58.0,70.0,g4,,11.0,58.0
game_019660.pgn,1,12.0,37.0,Nf3,Nz5,,
game_019661.pgn,1,6.0,50.0,d3,Bh9,,
game_019662.pgn,2,8.0,37.0,O-O,0-O,,
game_019663.pgn,2,45.0,80.0,Qxd4,Oxd4,,
game_019664.pgn,2,12.0,55.0,Nxc5,Mxc5,,
game_019665.pgn,2,69.0,77.0,Rd5,Pd5,,
game_019666.pgn,3,44.0,55.0,Bd3+,,,
game_019667.pgn,3,35.0,58.0,Nxf2,,,
game_019668.pgn,1,19.0,72.0,dxc3,Ka9,,
game_019669.pgn,3,24.0,30.0,Qe1,,,
game_019670.pgn,3,16.0,27.0,b4,,,
game_019671.pgn,4,3.0,67.0,Nf6,,63.0,3.0
game_019672.pgn,1,7.0,30.0,Bb4,Nz5,,
game_019673.pgn,4,15.0,52.0,O-O-O,,36.0,15.0
game_019674.pgn,1,17.0,21.0,Nxg4,Nz5,,
game_019675.pgn,2,33.0,60.0,dxe4,dxe5,,
game_019676.pgn,4,65.0,86.0,Rxe3,,20.0,65.0
game_019677.pgn,1,36.0,51.0,Qb3,Qh8,,
game_019678.pgn,4,19.0,55.0,b5,,35.0,19.0
game_019679.pgn,1,15.0,23.0,Kg8,Qh8,,
game_019680.pgn,1,27.0,79.0,Qd5,Qh8,,
game_019681.pgn,2,38.0,46.0,Nxd5,Mxd5,,
game_019682.pgn,4,16.0,57.0,h3,,40.0,16.0
game_019683.pgn,1,41.0,51.0,Nf5,Nz5,,
game_019684.pgn,3,33.0,56.0,f5,,,
game_019685.pgn,4,35.0,44.0,Rxd8,,8.0,35.0
game_019686.pgn,2,40.0,68.0,g4,g5,,
game_019687.pgn,2,14.0,38.0,Bg5,8g5,,
game_019688.pgn,2,32.0,58.0,Qe4,Oe4,,
game_019689.pgn,3,16.0,61.0,O-O,,,
game_019690.pgn,4,65.0,71.0,Ra7,,5.0,65.0
game_019691.pgn,4,34.0,64.0,f4,,29.0,34.0
game_019692.pgn,2,27.0,32.0,Bg4,8g4,,
game_019693.pgn,3,20.0,60.0,Bd6,,,
game_019694.pgn,1,8.0,39.0,dxe5,Qh8,,
game_019695.pgn,2,33.0,54.0,Qd5,Od5,,
game_019696.pgn,4,58.0,77.0,Nf4,,18.0,58.0
game_019697.pgn,3,46.0,64.0,Bb5,,,
game_019698.pgn,2,32.0,70.0,Ne2,Me2,,
game_019699.pgn,2,9.0,50.0,c4,c5,,
game_019700.pgn,3,6.0,59.0,d4,,,
game_019701.pgn,2,3.0,29.0,d5,d6,,
game_019702.pgn,4,37.0,55.0,Bd7,,17.0,37.0
game_019703.pgn,1,47.0,77.0,Rxc2,Qа9,,
game_019704.pgn,2,36.0,79.0,Qf2,Of2,,
game_019705.pgn,2,10.0,68.0,Be2,8e2,,
game_019706.pgn,4,31.0,68.0,Ra8,,36.0,31.0
game_019707.pgn,2,29.0,65.0,Nb4,Mb4,,
game_019708.pgn,2,37.0,43.0,Qxe5,Oxe5,,
game_019709.pgn,4,29.0,57.0,c6,,27.0,29.0
game_019710.pgn,4,59.0,63.0,Kh7,,3.0,59.0
game_019711.pgn,4,76.0,81.0,Rf6,,4.0,76.0
game_019712.pgn,2,18.0,99.0,Bxc6,8xc6,,
game_019713.pgn,2,41.0,66.0,Rg8,Pg8,,
game_019714.pgn,1,45.0,56.0,b4,Ka9,,
game_019715.pgn,4,22.0,38.0,f4,,15.0,22.0
game_019716.pgn,1,26.0,44.0,Bxc6,Ka9,,
game_019717.pgn,3,35.0,77.0,a3,,,
game_019718.pgn,4,24.0,45.0,g4,,20.0,24.0
game_019719.pgn,4,48.0,52.0,Qxa7,,3.0,48.0
game_019720.pgn,3,40.0,63.0,a4,,,
game_019721.pgn,3,65.0,80.0,Kxh6,,,
game_019722.pgn,4,45.0,90.0,Rxe8,,44.0,45.0
game_019723.pgn,2,14.0,38.0,h3,h4,,
game_019724.pgn,2,56.0,64.0,Ke2,Xe2,,
game_019725.pgn,3,66.0,78.0,f4,,,
game_019726.pgn,4,63.0,99.0,Nb3,,35.0,63.0
game_019727.pgn,1,5.0,35.0,Bd6,Nz5,,
game_019728.pgn,1,61.0,67.0,Kg5,Qh8,,
game_019729.pgn,1,6.0,23.0,d3,Bh9,,
game_019730.pgn,2,55.0,67.0,a3,a4,,
game_019731.pgn,4,26.0,71.0,Nxe6,,44.0,26.0
game_019732.pgn,4,33.0,58.0,Qb6,,24.0,33.0
game_019733.pgn,2,8.0,56.0,Bd3,8d3,,
game_019734.pgn,2,31.0,50.0,Bh5,8h5,,
game_019735.pgn,1,18.0,41.0,Bxc6,Qh8,,
game_019736.pgn,3,5.0,57.0,Nc6,,,
game_019737.pgn,2,56.0,76.0,a6,a7,,
game_019738.pgn,2,32.0,98.0,Nc2,Mc2,,
game_019739.pgn,3,19.0,32.0,hxg4,,,
game_019740.pgn,4,41.0,47.0,Rxe4,,5.0,41.0
game_019741.pgn,2,17.0,62.0,a5,a6,,
game_019742.pgn,4,49.0,74.0,Bxc4,,24.0,49.0
game_019743.pgn,2,49.0,64.0,cxd5,cxd6,,
game_019744.pgn,3,18.0,98.0,fxe6,,,
game_019745.pgn,2,39.0,100.0,Qf8,Of8,,
game_019746.pgn,3,32.0,70.0,Nce4,,,
game_019747.pgn,4,71.0,79.0,Nd4,,7.0,71.0
game_019748.pgn,3,60.0,94.0,Nxc6,,,
game_019749.pgn,3,24.0,67.0,Bh4,,,
game_019750.pgn,3,18.0,53.0,h3,,,
game_019751.pgn,3,62.0,74.0,Qc4,,,
game_019752.pgn,2,11.0,65.0,Bxd4,8xd4,,
game_019753.pgn,2,34.0,95.0,Bh6,8h6,,
game_019754.pgn,3,17.0,78.0,Bg4,,,
game_019755.pgn,1,55.0,98.0,Rxa7,Rb9,,
game_019756.pgn,3,56.0,83.0,bxc5,,,
game_019757.pgn,4,66.0,91.0,Ke4,,24.0,66.0
game_019758.pgn,4,3.0,46.0,Nc6,,42.0,3.0
game_019759.pgn,3,12.0,31.0,Ne2,,,
game_019760.pgn,1,15.0,36.0,Qxd4,Qh8,,
game_019761.pgn,2,5.0,42.0,d5,d6,,
game_019762.pgn,1,43.0,48.0,Kxh6,Nz5,,
game_019763.pgn,3,14.0,34.0,Qg4,,,
game_019764.pgn,4,40.0,79.0,a4,,38.0,40.0
game_019765.pgn,4,23.0,80.0,Ng6,,56.0,23.0
game_019766.pgn,1,31.0,47.0,Nxa5,Bh9,,
game_019767.pgn,1,43.0,68.0,Bg7+,Bh9,,
game_019768.pgn,1,56.0,61.0,f6,Qh8,,
game_019769.pgn,4,77.0,87.0,Bg7,,9.0,77.0
game_019770.pgn,4,5.0,51.0,Qa5,,45.0,5.0
game_019771.pgn,3,36.0,66.0,Qxd4,,,
game_019772.pgn,4,12.0,95.0,dxe5,,82.0,12.0
game_019773.pgn,1,6.0,60.0,Qf3,Qа9,,
game_019774.pgn,4,59.0,77.0,Ne4,,17.0,59.0
game_019775.pgn,3,22.0,72.0,b3,,,
game_019776.pgn,1,12.0,55.0,Nd5,Ka9,,
game_019777.pgn,3,42.0,96.0,Kxf1,,,
game_019778.pgn,1,22.0,58.0,Nxd6+,Nz5,,
game_019779.pgn,1,10.0,23.0,d3,Ka9,,
game_019780.pgn,3,34.0,47.0,Nc4,,,
game_019781.pgn,2,66.0,91.0,Rhc7+,Phc7+,,
game_019782.pgn,1,15.0,52.0,Qxf6,Qh8,,
game_019783.pgn,1,46.0,77.0,Qe4+,Nz5,,
game_019784.pgn,2,37.0,53.0,Rxe1+,Pxe1+,,
game_019785.pgn,1,13.0,61.0,O-O,Qа9,,
game_019786.pgn,4,5.0,75.0,d4,,69.0,5.0
game_019787.pgn,2,28.0,46.0,dxe6,dxe7,,
game_019788.pgn,4,44.0,56.0,Rxf2,,11.0,44.0
game_019789.pgn,3,53.0,80.0,Rg8,,,
game_019790.pgn,2,75.0,98.0,Kg7,Xg7,,
game_019791.pgn,3,36.0,72.0,Na4,,,
game_019792.pgn,3,24.0,66.0,Kh1,,,
game_019793.pgn,3,56.0,87.0,Nc3,,,
game_019794.pgn,4,66.0,76.0,Nb1,,9.0,66.0
game_019795.pgn,1,31.0,37.0,gxf6,Rb9,,
game_019796.pgn,1,63.0,84.0,Rd3,Qh8,,
game_019797.pgn,3,14.0,97.0,Be3,,,
game_019798.pgn,2,27.0,56.0,Nb6,Mb6,,
game_019799.pgn,4,15.0,83.0,Be6,,67.0,15.0
game_019800.pgn,1,13.0,53.0,Nc6,Qh8,,
game_019801.pgn,3,27.0,100.0,Kf7,,,
game_019802.pgn,4,27.0,61.0,exf6,,33.0,27.0
game_019803.pgn,3,21.0,42.0,Bg6,,,
game_019804.pgn,1,37.0,59.0,Rxc8,Bh9,,
game_019805.pgn,4,15.0,29.0,a6,,13.0,15.0
game_019806.pgn,4,85.0,96.0,Qe5+,,10.0,85.0
game_019807.pgn,4,11.0,56.0,Qxe5+,,44.0,11.0
game_019808.pgn,4,12.0,33.0,b3,,20.0,12.0
game_019809.pgn,4,31.0,52.0,Bf4,,20.0,31.0
game_019810.pgn,4,33.0,48.0,f5,,14.0,33.0
game_019811.pgn,2,52.0,68.0,Qf3,Of3,,
game_019812.pgn,4,56.0,75.0,Rxb5,,18.0,56.0
game_019813.pgn,4,8.0,37.0,Bb3,,28.0,8.0
game_019814.pgn,3,33.0,50.0,Nxf8,,,
game_019815.pgn,3,5.0,54.0,c6,,,
game_019816.pgn,1,19.0,54.0,e5,Qа9,,
game_019817.pgn,3,44.0,81.0,Nf4,,,
game_019818.pgn,1,72.0,94.0,Kxe3,Qа9,,
game_019819.pgn,4,10.0,62.0,Bf4,,51.0,10.0
game_019820.pgn,2,15.0,36.0,Nd5,Md5,,
game_019821.pgn,1,16.0,47.0,h3,Nz5,,
game_019822.pgn,1,13.0,50.0,Qe6,Qа9,,
game_019823.pgn,3,37.0,57.0,Rf6,,,
game_019824.pgn,2,5.0,72.0,exd5,exd6,,
game_019825.pgn,4,24.0,39.0,Bg3,,14.0,24.0
game_019826.pgn,4,28.0,78.0,Qh6,,49.0,28.0
game_019827.pgn,3,20.0,46.0,O-O,,,
game_019828.pgn,1,24.0,55.0,Nbd2,Nz5,,
game_019829.pgn,3,25.0,37.0,dxe5,,,
game_019830.pgn,3,22.0,41.0,Qe3,,,
game_019831.pgn,4,14.0,43.0,c4,,28.0,14.0
game_019832.pgn,3,55.0,74.0,Rab8,,,
game_019833.pgn,4,6.0,47.0,Nf3,,40.0,6.0
game_019834.pgn,2,25.0,76.0,e4,e5,,
game_019835.pgn,2,10.0,46.0,Nc3,Mc3,,
game_019836.pgn,4,26.0,32.0,axb5,,5.0,26.0
game_019837.pgn,1,9.0,82.0,Nc6,Bh9,,
game_019838.pgn,3,55.0,63.0,Bxf5,,,
game_019839.pgn,1,15.0,76.0,Bg7,Qа9,,
game_019840.pgn,2,13.0,45.0,Be7,8e7,,
game_019841.pgn,1,25.0,79.0,Nb6,Qh8,,
game_019842.pgn,2,7.0,61.0,c5,c6,,
game_019843.pgn,2,20.0,57.0,Bd3,8d3,,
game_019844.pgn,3,54.0,68.0,Ne2,,,
game_019845.pgn,1,23.0,52.0,cxd4,Qа9,,
game_019846.pgn,3,22.0,41.0,b3,,,
game_019847.pgn,3,5.0,92.0,d5,,,
game_019848.pgn,4,51.0,77.0,Rc8,,25.0,51.0
game_019849.pgn,2,33.0,65.0,Ne3+,Me3+,,
game_019850.pgn,4,42.0,84.0,Bf4,,41.0,42.0
game_019851.pgn,1,13.0,32.0,d6,Qа9,,
game_019852.pgn,1,12.0,51.0,Nxc6,Bh9,,
game_019853.pgn,4,6.0,47.0,a3,,40.0,6.0
game_019854.pgn,4,27.0,57.0,Kf8,,29.0,27.0
game_019855.pgn,4,39.0,53.0,Qxc8,,13.0,39.0
game_019856.pgn,3,8.0,69.0,Nc3,,,
game_019857.pgn,1,14.0,26.0,Qh5+,Bh9,,
game_019858.pgn,2,46.0,59.0,Kg2,Xg2,,
game_019859.pgn,4,7.0,62.0,Nf6,,54.0,7.0
game_019860.pgn,1,13.0,42.0,Qd7,Qа9,,
game_019861.pgn,2,60.0,94.0,a4,a5,,
game_019862.pgn,2,22.0,58.0,Nxd4,Mxd4,,
game_019863.pgn,3,11.0,36.0,Bxd5,,,
game_019864.pgn,1,14.0,84.0,Bg2,Bh9,,
game_019865.pgn,3,58.0,67.0,Bf4,,,
game_019866.pgn,2,10.0,50.0,O-O,0-O,,
game_019867.pgn,3,28.0,61.0,f4,,,
game_019868.pgn,3,29.0,39.0,Ng6,,,
game_019869.pgn,1,12.0,22.0,Nh3,Qа9,,
game_019870.pgn,3,15.0,39.0,Bd6,,,
game_019871.pgn,2,28.0,44.0,Bxf5,8xf5,,
game_019872.pgn,3,78.0,83.0,Bxd5+,,,
game_019873.pgn,3,45.0,81.0,Rg1+,,,
game_019874.pgn,4,49.0,96.0,Rxd2,,46.0,49.0
game_019875.pgn,3,23.0,40.0,f4,,,
game_019876.pgn,2,6.0,39.0,e4,e5,,
game_019877.pgn,2,22.0,36.0,Bc3,8c3,,
game_019878.pgn,4,44.0,73.0,bxc3,,28.0,44.0
game_019879.pgn,3,53.0,62.0,Bxd1,,,
game_019880.pgn,4,26.0,96.0,Bb5+,,69.0,26.0
game_019881.pgn,4,23.0,47.0,Bxd5,,23.0,23.0
game_019882.pgn,4,16.0,79.0,Rb1,,62.0,16.0
game_019883.pgn,1,8.0,27.0,Ne5,Qh8,,
game_019884.pgn,4,30.0,89.0,b3,,58.0,30.0
game_019885.pgn,3,3.0,30.0,Nc6,,,
game_019886.pgn,3,7.0,51.0,Be6,,,
game_019887.pgn,3,38.0,57.0,g3,,,
game_019888.pgn,1,40.0,53.0,Rf1+,Bh9,,
game_019889.pgn,3,20.0,44.0,Nc3,,,
game_019890.pgn,3,17.0,69.0,Qb8,,,
game_019891.pgn,4,21.0,38.0,Ne7,,16.0,21.0
game_019892.pgn,1,18.0,91.0,Bd3,Qа9,,
game_019893.pgn,1,7.0,41.0,Qe4,Rb9,,
game_019894.pgn,2,14.0,45.0,f4,f5,,
game_019895.pgn,2,24.0,44.0,Bxb4,8xb4,,
game_019896.pgn,3,4.0,48.0,d4,,,
game_019897.pgn,3,3.0,56.0,Nc6,,,
game_019898.pgn,4,51.0,75.0,Qxc2,,23.0,51.0
game_019899.pgn,1,15.0,42.0,Nb4,Qh8,,
game_019900.pgn,1,13.0,37.0,Bd7,Ka9,,
game_019901.pgn,3,64.0,73.0,Bxd3,,,
game_019902.pgn,3,13.0,51.0,fxe6,,,
game_019903.pgn,3,5.0,66.0,g6,,,
game_019904.pgn,1,17.0,30.0,hxg4,Ka9,,
game_019905.pgn,1,11.0,25.0,Nc6,Qа9,,
game_019906.pgn,2,15.0,66.0,d5,d6,,
game_019907.pgn,1,14.0,74.0,Nh3,Rb9,,
game_019908.pgn,2,24.0,78.0,gxf3,gxf4,,
game_019909.pgn,3,65.0,72.0,Rb4,,,
game_019910.pgn,2,22.0,87.0,O-O,0-O,,
game_019911.pgn,1,70.0,87.0,Bxe6+,Ka9,,
game_019912.pgn,3,4.0,56.0,h4,,,
game_019913.pgn,2,64.0,96.0,Ke2,Xe2,,
game_019914.pgn,1,55.0,78.0,Kf7,Nz5,,
game_019915.pgn,4,24.0,74.0,e5,,49.0,24.0
game_019916.pgn,3,45.0,50.0,Kf8,,,
game_019917.pgn,4,13.0,35.0,e6,,21.0,13.0
game_019918.pgn,2,44.0,51.0,Nh5,Mh5,,
game_019919.pgn,4,13.0,48.0,Nxd5,,34.0,13.0
game_019920.pgn,4,26.0,73.0,exd5,,46.0,26.0
game_019921.pgn,2,3.0,75.0,e6,e7,,
game_019922.pgn,3,41.0,67.0,h5,,,
game_019923.pgn,1,39.0,75.0,Bd3,Ka9,,
game_019924.pgn,4,31.0,55.0,Bb7,,23.0,31.0
game_019925.pgn,2,14.0,31.0,cxd5,cxd6,,
game_019926.pgn,4,10.0,25.0,Qc3,,14.0,10.0
game_019927.pgn,2,16.0,60.0,Be3,8e3,,
game_019928.pgn,3,15.0,48.0,Ng6,,,
game_019929.pgn,1,60.0,76.0,Kd2,Nz5,,
game_019930.pgn,4,6.0,47.0,d4,,40.0,6.0
game_019931.pgn,1,54.0,65.0,Nh4,Nz5,,
game_019932.pgn,1,28.0,37.0,Re1,Bh9,,
game_019933.pgn,3,41.0,82.0,exf2,,,
game_019934.pgn,2,34.0,65.0,Qe2,Oe2,,
game_019935.pgn,3,43.0,97.0,Kc6,,,
game_019936.pgn,1,26.0,33.0,Na3,Bh9,,
game_019937.pgn,2,64.0,81.0,Kf2,Xf2,,
